Player,Our Prediction,DraftKings Prediction,Position,Salary
Greivis Vasquez,20.568603007237954,17.047000000000001,PG,3500
Patrick Patterson,19.134285803473727,14.260999999999999,PF,3500
JaMychal Green,0,14.762,PF,3500
Lance Stephenson,12.764461219269261,12.788,SF,3500
Terrence Ross,18.64268459030934,11.952999999999999,SG,3500
Tony Allen,20.881665668526121,15.167,SF,3400
Nick Young,17.943348831296699,14.027999999999999,SG,3400
Frank Kaminsky,0,10.974,C,3400
Shabazz Muhammad,20.226791551491566,11.75,SF,3400
Paul Pierce,15.838589316417609,10.300000000000001,SF,3300
Metta World Peace,0,12.015000000000001,SF,3300
Kirk Hinrich,7.5083801092874189,12.805999999999999,PG,3300
Devin Harris,16.348990994713425,15.663,PG,3300
Channing Frye,7.8923905206579708,12.482999999999999,PF,3300
J.J. Barea,17.250994836054836,17.390999999999998,PG,3300
Josh McRoberts,18.243322696225274,11.132,PF,3300
Doug McDermott,0,13.610999999999999,SF,3300
Kyle Anderson,0,8.875,SF,3300
Jason Terry,15.214462529172998,10.132,PG,3200
Ryan Hollins,0,5.0629999999999997,C,3200
Charlie Villanueva,16.812375607518135,11.837999999999999,PF,3200
Anthony Tolliver,15.865570414144248,12.321,PF,3200
Jason Smith,28.652071822308109,11.567,PF,3200
Garrett Temple,0,10.632,SG,3200
Wesley Johnson,23.39383136582936,10.702,SF,3200
Brandan Wright,25.882057868532623,14.571,PF,3200
Mike Scott,22.753030348180463,9.9879999999999995,PF,3200
James Johnson,13.325206071860375,8.6029999999999998,SF,3200
Nikola Pekovic,17.97089778164375,0.0,C,3200
Kevin Seraphin,17.750093968746704,11.542,PF,3200
Tony Snell,14.229330808119597,12.75,SF,3200
Larry Nance Jr.,0,10.562999999999999,PF,3200
Dewayne Dedmon,14.585983348593484,13.679,C,3200
Raul Neto,0,11.958,PG,3200
Devin Booker,0,10.013999999999999,SG,3200
Kevin Garnett,17.937178490154615,13.930999999999999,PF,3100
Matt Bonner,0,4.6429999999999998,PF,3100
