,+/-,3PA,3PM,AST,BLK,DKPoints,DREB,FGA,FGM,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,position,team,id,away_team_losses,away_team_wins,date,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score
7574,-20.0,0.0,0.0,0.0,0.0,8.5,4.0,4.0,1.0,0.0,0.0,18.0,2.0,2.0,2.0,6.0,0.0,2.0,400827998.0,Gorgui Dieng, C,Minnesota Timberwolves,400827998,4,3,2015-11-10,Minnesota Timberwolves,3,95,4,Charlotte Hornets,104
7575,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,400827998.0,Andre Miller, PG,Minnesota Timberwolves,400827998,4,3,2015-11-10,Minnesota Timberwolves,3,95,4,Charlotte Hornets,104
7576,-23.0,0.0,0.0,1.0,0.0,5.75,1.0,4.0,0.0,2.0,1.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,400827998.0,Tyus Jones, PG,Minnesota Timberwolves,400827998,4,3,2015-11-10,Minnesota Timberwolves,3,95,4,Charlotte Hornets,104
7577,,,,,,,,,,,,,,,,,,,400827998.0,Ricky Rubio, PG,Minnesota Timberwolves,400827998,4,3,2015-11-10,Minnesota Timberwolves,3,95,4,Charlotte Hornets,104
7578,,,,,,,,,,,,,,,,,,,400827998.0,Andrew Wiggins, SG,Minnesota Timberwolves,400827998,4,3,2015-11-10,Minnesota Timberwolves,3,95,4,Charlotte Hornets,104
7579,-6.0,1.0,0.0,1.0,0.0,17.0,3.0,6.0,3.0,4.0,3.0,24.0,3.0,3.0,9.0,6.0,0.0,2.0,400828034.0,Noah Vonleh, PF,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7580,0.0,2.0,1.0,2.0,0.0,16.25,3.0,5.0,2.0,2.0,2.0,22.0,0.0,5.0,7.0,3.0,1.0,0.0,400828034.0,Al-Farouq Aminu, SF,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7581,-10.0,0.0,0.0,1.0,1.0,26.75,6.0,6.0,2.0,4.0,4.0,24.0,7.0,4.0,8.0,13.0,0.0,2.0,400828034.0,Mason Plumlee, C,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7582,-12.0,9.0,1.0,5.0,0.0,40.5,6.0,25.0,9.0,5.0,4.0,37.0,2.0,0.0,23.0,8.0,1.0,5.0,400828034.0,Damian Lillard, PG,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7583,-12.0,6.0,2.0,4.0,0.0,27.5,2.0,18.0,5.0,4.0,4.0,37.0,0.0,2.0,16.0,2.0,1.0,0.0,400828034.0,C.J. McCollum, SG,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
