Name,AvgPointsPerGame,DraftKings Prediction,Position,Salary
Andrew Bogut,17.674226547492797,21.0,C,4300
Donatas Motiejunas,0,0.25,PF,4300
Shane Larkin,20.261592627327701,18.649999999999999,PG,4300
Mario Chalmers,18.672109509726141,19.444000000000003,PG,4100
Dion Waiters,20.787042215128174,20.563000000000002,SG,4100
Gary Harris,20.410127824562878,18.437999999999999,SG,4100
Courtney Lee,19.930687945535393,17.606999999999999,SG,4000
Marco Belinelli,16.374339998807095,18.284000000000002,SG,4000
J.J. Hickson,0,16.161999999999999,PF,4000
Andrew Nicholson,19.893593491433759,16.0,PF,4000
Trey Burke,18.18367567807606,18.972000000000001,PG,3900
Aaron Gordon,14.715176049152969,18.887999999999998,SF,3900
Nikola Jokic,14.984437178760292,17.25,C,3900
Ty Lawson,15.488778036385128,18.113,PG,3800
Marcus Thornton,14.446093502532809,18.224,SF,3800
Steven Adams,17.202419692279353,17.863,C,3800
Lavoy Allen,16.126399585447736,14.819000000000001,C,3700
Timofey Mozgov,15.289905058661322,15.044,C,3700
Ben McLemore,18.939772128226156,14.455,SG,3700
Iman Shumpert,0,0.0,SG,3600
Bojan Bogdanovic,12.803252334825441,14.5,SF,3600
Jameer Nelson,15.519498616231143,16.276,PG,3500
Randy Foye,20.971319326104368,11.488,PG,3500
Corey Brewer,15.531940675002183,13.833,SF,3500
Brandon Rush,0,9.4640000000000004,SG,3500
JaMychal Green,13.934762118565303,14.762,PF,3500
Tony Allen,11.989843305027982,15.167,SF,3400
Allen Crabbe,17.008373839389368,14.702,SG,3400
Willie Cauley-Stein,14.76135161756801,14.812999999999999,C,3400
Channing Frye,12.949163453990225,12.482999999999999,PF,3300
Leandro Barbosa,12.078477154733953,13.329000000000001,PG,3300
Shaun Livingston,15.764993371719321,12.074999999999999,PG,3300
Jason Terry,12.208916926518629,10.132,PG,3200
Richard Jefferson,17.199456661017045,12.625,SF,3200
Jason Smith,12.877307394682926,11.567,PF,3200
Brandan Wright,15.294054087044632,14.571,PF,3200
Chase Budinger,9.1405530481561179,10.710999999999999,SF,3200
Gerald Henderson,14.446426632196317,10.808,SG,3200
Marreese Speights,14.288544340051363,10.944000000000001,C,3200
Thomas Robinson,11.14201646140789,10.75,PF,3200
Andre Roberson,15.697790109994344,12.710999999999999,SG,3200
Markel Brown,0,6.875,SG,3200
Dewayne Dedmon,6.9371938301365983,13.679,C,3200
Maurice Harkless,16.135967122696144,14.225999999999999,SF,3200
Raul Neto,15.136713819539331,11.958,PG,3200
Myles Turner,10.823827551392446,12.030999999999999,C,3200
Mike Miller,0,5.875,SG,3100
James Jones,0,6.4249999999999998,SG,3100
Chris Kaman,0,8.1669999999999998,C,3100
C.J. Watson,15.259684608853853,13.875,PG,3100
Anderson Varejao,0,6.5289999999999999,C,3100
Anthony Morrow,0,9.1449999999999996,SG,3100
D.J. Augustin,8.4171464987327909,11.050000000000001,PG,3100
Wayne Ellington,0,8.25,SG,3100
Jeff Withey,0,7.3250000000000002,C,3100
Seth Curry,0,7.125,PG,3100
Willie Reed,11.823168562418228,12.125,SF,3100
Jared Cunningham,0,7.0739999999999998,SG,3100
Shabazz Napier,0,9.5259999999999998,PG,3100
Joe Ingles,0,7.75,SG,3100
James Ennis,0,2.625,SG,3100
Trey Lyles,0,5.5,PF,3100
Vince Carter,0,9.3000000000000007,SG,3000
Nick Collison,0,9.4379999999999988,C,3000
Caron Butler,0,5.4689999999999994,SF,3000
Steve Novak,0,4.75,SF,3000
Sasha Kaun,0,2.9500000000000002,C,3000
Jason Thompson,0,5.8410000000000002,PF,3000
Andrea Bargnani,0,8.5440000000000005,C,3000
Donald Sloan,0,3.125,PG,3000
Elijah Millsap,0,4.556,SG,3000
Kyle Singler,0,5.734,SF,3000
James Anderson,0,4.827,SG,3000
Chris Johnson,0,3.0710000000000002,SF,3000
Quincy Acy,0,6.1820000000000004,PF,3000
Ian Clark,0,6.8470000000000004,SG,3000
Shayne Whittington,0,-1.0,C,3000
Solomon Hill,0,4.4639999999999995,SF,3000
Tim Frazier,0,2.25,PG,3000
Joe Harris,0,1.95,SG,3000
Tibor Pleiss,0,1.6880000000000002,C,3000
Duje Dukan,0,0.0,SF,3000
Josh Huestis,0,0.0,SF,3000
Russ Smith,0,2.8500000000000001,PG,3000
Eric Moreland,0,3.8999999999999999,PF,3000
Devyn Marble,0,0.94999999999999996,SF,3000
Joe Young,0,3.036,SG,3000
Pat Connaughton,0,1.042,SF,3000
K.J. McDaniels,0,3.6430000000000002,SF,3000
James Michael McAdoo,0,4.0,PF,3000
Rakeem Christmas,0,0.0,PF,3000
Kostas Papanikolaou,0,3.7680000000000002,SF,3000
Sergey Karasev,0,2.028,SF,3000
Sam Dekker,0,1.083,SF,3000
Jordan Adams,0,9.5,SG,3000
Montrezl Harrell,0,7.3829999999999991,PF,3000
Glenn Robinson III,0,8.9169999999999998,SF,3000
Mitch McGary,0,3.7919999999999998,PF,3000
Jarell Martin,0,0.0,PF,3000
Noah Vonleh,0,7.7139999999999995,PF,3000
Cameron Payne,0,3.222,PG,3000
Dante Exum,0,0.0,PG,3000
Mario Hezonja,0,6.5139999999999993,SG,3000
Cliff Alexander,0,3.8330000000000002,PF,3000
Kevon Looney,0,0.0,PF,3000
Chris McCullough,0,0.0,PF,3000
Luis Montero,0,2.125,SF,3000
