Name,AvgPointsPerGame,DraftKings Prediction,Position,Salary
Tony Snell,11.029284413163918,12.618,SF,3200
Maurice Harkless,17.323959439368203,14.225999999999999,SF,3200
Jakarr Sampson,0,11.130999999999998,SF,3200
Shabazz Muhammad,14.046813120850777,11.118,SF,3200
Wesley Johnson,11.821219689528805,10.187999999999999,SF,3100
Kevin Garnett,14.487048290847611,13.970999999999998,PF,3000
Andre Miller,19.171362063580865,13.860999999999999,PG,3000
Matt Bonner,0,2.875,PF,3000
Steve Blake,10.232540295810193,10.779000000000002,PG,3000
Chris Kaman,0,8.1669999999999998,C,3000
Louis Amundson,0,6.1500000000000004,PF,3000
Alan Anderson,0,0.0,SG,3000
Chris Andersen,0,4.4169999999999998,C,3000
Ronnie Price,0,8.8819999999999997,PG,3000
Drew Gooden,12.065434286538352,11.542,PF,3000
Amar'e Stoudemire,0,9.0,PF,3000
Tayshaun Prince,0,7.2759999999999998,SF,3000
Rasual Butler,0,6.7350000000000003,SG,3000
Mike Dunleavy,0,0.0,SF,3000
Chris Copeland,0,4.5330000000000004,PF,3000
Kendrick Perkins,0,9.6669999999999998,C,3000
Udonis Haslem,0,6.0,PF,3000
Sasha Vujacic,0,9.875,SG,3000
Beno Udrih,0,9.4039999999999999,PG,3000
Toney Douglas,13.021420556512652,13.625,PG,3000
Carl Landry,0,0.0,PF,3000
Brian Roberts,0,6.3129999999999997,PG,3000
Joel Anthony,0,5.0830000000000002,PF,3000
Luc Richard Mbah a Moute,0,4.181,SF,3000
Tyler Hansbrough,0,7.1789999999999994,PF,3000
Aron Baynes,10.936609260172022,10.417,C,3000
Alonzo Gee,12.415131216111545,10.75,SF,3000
Quincy Pondexter,0,0.0,SF,3000
Jodie Meeks,0,2.0,SG,3000
Lance Thomas,17.360255762490269,10.429,SF,3000
Sonny Weems,0,4.5,SG,3000
JaVale McGee,0,9.3000000000000007,C,3000
Jeremy Evans,0,5.7329999999999997,SF,3000
James Johnson,0,8.641,SF,3000
E'Twaun Moore,10.270586241170319,10.25,SG,3000
Cole Aldrich,0,2.0499999999999998,C,3000
Robert Sacre,0,7.625,C,3000
DeJuan Blair,0,6.7810000000000006,C,3000
Luke Babbitt,10.868213710161704,11.767999999999999,SF,3000
Tyler Zeller,0,7.4110000000000005,C,3000
Miles Plumlee,0,4.4669999999999996,C,3000
Kyle O'Quinn,9.4979046747805711,13.074000000000002,PF,3000
Jonas Jerebko,0,9.2249999999999996,PF,3000
Derrick Williams,15.198629771760167,12.525,SF,3000
C.J. Wilcox,0,0.0,SG,3000
John Jenkins,0,6.1389999999999993,SG,3000
Ryan Kelly,10.742902170886682,11.821,SF,3000
Cory Jefferson,0,4.5,PF,3000
Troy Daniels,0,3.5830000000000002,PG,3000
Tim Frazier,0,2.25,PG,3000
Terrence Ross,12.635218671464838,10.382999999999999,SG,3000
Cameron Bairstow,0,2.875,PF,3000
Tarik Black,0,9.8439999999999994,C,3000
Anthony Brown,0,2.5,SF,3000
Jerian Grant,15.959211564148481,13.262,PG,3000
Kendall Marshall,0,0.0,PG,3000
Reggie Bullock,0,1.75,SF,3000
Pablo Prigioni,0,6.7860000000000005,PG,3000
Boban Marjanovic,0,3.9750000000000001,C,3000
Jonathon Simmons,0,8.3209999999999997,SF,3000
Adreian Payne,0,9.1349999999999998,PF,3000
Marcelo Huertas,16.107012247089607,11.389000000000001,PG,3000
Salah Mejri,0,2.3500000000000001,C,3000
Ray McCallum,0,2.4249999999999998,PG,3000
Bryce Cotton,0,0.0,PG,3000
Pat Connaughton,0,1.042,SF,3000
Darrun Hilliard,0,6.0829999999999993,SG,3000
Spencer Dinwiddie,9.6356354080913391,10.179,PG,3000
Michael Kidd-Gilchrist,0,0.0,SF,3000
Johnny O'Bryant,0,9.5259999999999998,PF,3000
Larry Nance Jr.,0,10.0,PF,3000
Josh Richardson,0,3.6880000000000002,SG,3000
Branden Dawson,0,0.0,SF,3000
P.J. Hairston,0,8.7029999999999994,SF,3000
Norman Powell,0,3.4060000000000001,SG,3000
Jarnell Stokes,0,1.25,PF,3000
Lucas Nogueira,13.300199701108827,10.417,C,3000
R.J. Hunter,0,6.5360000000000005,SG,3000
Richaun Holmes,18.195294316340846,11.205,PF,3000
Kyle Anderson,0,8.5950000000000006,SF,3000
Justin Anderson,0,4.3129999999999997,SF,3000
Archie Goodwin,0,8.4550000000000001,SG,3000
Anthony Bennett,0,4.0,SF,3000
Cleanthony Early,0,2.214,SF,3000
Delon Wright,0,1.125,PG,3000
Jordan Mickey,0,6.125,PF,3000
Bobby Portis,0,7.4170000000000007,PF,3000
Christian Wood,0,8.6039999999999992,PF,3000
Terry Rozier,0,3.7689999999999997,PG,3000
Tyler Ennis,0,7.9720000000000004,PG,3000
Noah Vonleh,0,7.7139999999999995,PF,3000
James Young,0,1.625,SG,3000
Aaron Harrison,0,2.25,PG,3000
Joel Embiid,0,0.0,C,3000
Bruno Caboclo,0,0.0,SF,3000
Damien Inglis,0,4.7999999999999998,SF,3000
Damjan Rudez,0,4.4379999999999997,SF,3000
Cristiano Felicio,0,1.75,C,3000
Tyus Jones,0,2.875,PG,3000
Cliff Alexander,0,3.8330000000000002,PF,3000
Kelly Oubre Jr.,0,4.3650000000000002,SF,3000
Devin Booker,0,8.9710000000000001,SG,3000
Rashad Vaughn,0,4.6429999999999998,SG,3000
Luis Montero,0,2.125,SF,3000
