AvgPts,Ceiling,CeilingPct,Consistency,Floor,FloorPct,ImpPts,OppPlusMinusPct,Plus_Minus,ProjPlusMinusPct,Score,Season_PPG,Season_Plus_Minus,Upside,Vegas,AdjYPA,PassINTPct,PassSackPct,PassTDPct,PassingSuccessfulPct,YardsPerPassingAttempt,ActualPoints
20.2,34.1,92,62,6.3,17,17.18,25,68,64,68.0,19.6,2.6,99,81,6.39,1.7,5.5,4.4,48.3,7.81,24.8
17.2,29.0,55,100,5.4,17,15.07,67,55,51,55.0,15.9,1.5,99,49,6.89,0.0,5.4,4.3,48.39,7.06,24.0
14.0,22.9,7,100,5.1,10,13.91,2,83,28,83.0,18.1,4.1,100,4,5.64,2.6,7.2,3.7,52.04,7.54,6.0
23.7,36.0,95,62,11.4,95,20.21,94,38,69,38.0,20.0,0.2,91,89,5.78,1.7,7.9,5.0,44.86,7.34,26.4
17.6,28.8,55,100,6.4,29,16.24,80,49,42,49.0,15.7,1.0,98,24,5.82,2.6,7.4,3.8,44.26,6.63,8.1
19.5,33.4,86,84,5.6,18,19.05,79,78,31,78.0,21.5,3.4,99,88,8.44,1.8,5.0,6.2,45.86,6.82,7.5
20.8,34.6,90,84,7.0,51,18.35,36,86,55,86.0,20.2,4.3,99,74,6.53,2.2,4.9,5.7,49.69,7.08,12.9
23.0,35.0,93,100,11.0,91,20.45,15,98,56,98.0,26.9,7.9,99,76,7.64,1.9,6.3,7.4,44.63,6.62,16.1
17.9,29.3,59,100,6.5,33,15.54,90,32,53,32.0,14.3,-0.5,99,81,6.46,0.0,5.1,0.0,49.31,7.93,23.5
18.8,30.0,68,84,7.6,47,16.24,43,81,56,81.0,18.6,3.8,99,55,6.3,3.1,3.8,4.3,55.44,7.6,30.5
14.7,26.0,24,53,3.4,2,14.61,87,36,28,36.0,16.7,-0.1,98,19,6.3,2.2,6.3,4.2,49.02,7.29,10.6
20.0,34.1,88,71,5.9,26,18.58,85,74,43,74.0,20.7,3.1,99,81,6.84,2.6,4.8,6.1,49.91,7.47,19.0
17.1,28.9,53,40,5.3,18,13.91,39,36,65,36.0,14.2,0.0,99,26,6.61,1.6,5.8,5.2,48.13,7.26,22.9
19.3,30.0,67,100,8.6,67,18.11,13,83,39,83.0,20.3,4.1,99,41,6.75,1.9,7.5,5.6,49.91,7.53,30.5
21.9,35.6,96,50,8.2,49,19.51,93,41,53,41.0,18.1,0.4,98,84,6.85,2.4,4.9,3.8,51.19,7.22,19.9
21.4,33.7,88,100,9.1,75,16.71,70,76,83,76.0,18.4,3.3,99,85,5.81,2.5,7.2,3.9,52.42,7.77,25.0
17.6,27.7,46,79,7.5,49,15.77,5,78,48,78.0,18.9,3.6,99,49,7.44,1.1,7.2,5.2,46.54,7.14,17.4
20.1,32.7,80,100,7.5,62,17.18,56,95,63,95.0,21.6,6.5,99,52,7.36,2.0,4.4,5.1,50.28,8.1,19.3
13.7,23.0,7,35,4.4,5,13.91,71,14,26,14.0,7.6,-6.5,67,19,5.55,1.5,4.6,2.2,48.08,7.13,14.7
17.2,27.2,41,65,7.2,40,15.54,52,82,45,82.0,20.6,3.9,100,61,7.95,1.9,6.6,5.5,45.68,6.59,11.2
18.9,28.9,56,84,8.9,73,16.01,36,89,62,89.0,19.6,5.0,100,41,6.71,2.6,3.6,5.4,44.61,7.08,3.7
18.8,29.6,63,64,8.0,57,16.01,84,78,60,78.0,19.1,3.6,99,61,5.8,3.1,8.0,4.4,51.33,7.72,7.8
22.4,37.4,97,59,7.4,55,20.68,73,91,46,91.0,24.2,5.3,99,94,7.79,1.5,4.4,5.6,55.69,8.61,29.9
20.3,30.8,73,84,9.8,80,17.41,2,97,62,97.0,22.9,7.0,100,55,6.24,3.2,7.8,5.8,49.32,7.53,14.5
17.0,27.6,44,84,6.4,27,15.77,62,76,40,76.0,18.0,3.3,99,70,6.37,1.3,8.6,3.9,44.79,6.68,13.2
19.3,32.5,82,77,6.1,27,16.48,79,79,62,79.0,19.7,3.7,99,63,5.88,2.7,4.2,3.7,48.05,7.42,13.8
21.6,35.2,95,50,8.0,45,19.28,33,76,53,76.0,21.6,3.3,99,79,6.7,3.8,4.2,4.9,48.84,7.33,9.0
22.5,34.6,92,84,10.4,86,18.81,47,76,72,76.0,21.0,3.3,98,86,7.98,1.3,8.0,6.7,42.88,6.38,14.0
23.3,33.7,88,68,12.9,98,19.98,80,82,68,82.0,24.0,4.0,98,88,5.82,2.6,6.5,5.7,47.52,7.5,18.2
13.0,22.6,6,100,3.4,1,14.14,46,23,21,23.0,11.7,-2.5,54,26,5.1,5.2,4.9,1.7,42.28,6.16,32.0
20.7,35.1,92,62,6.3,33,17.88,14,74,62,74.0,20.1,3.1,99,79,6.7,1.5,5.7,4.8,48.01,7.68,15.2
15.3,27.5,40,26,3.1,1,13.91,70,9,42,9.0,3.6,-10.3,54,37,6.31,0.0,8.3,0.0,48.98,8.01,12.1
18.1,29.5,60,77,6.7,37,15.77,7,38,53,38.0,15.0,0.2,98,55,5.67,2.6,7.1,3.5,44.36,6.55,17.6
20.9,35.6,96,74,6.2,14,16.94,64,67,76,67.0,20.6,2.4,99,89,7.68,2.3,5.7,5.4,45.73,6.83,13.5
19.6,32.1,85,84,7.1,26,17.88,5,78,46,78.0,19.5,3.4,99,41,6.36,2.2,5.1,5.4,49.36,7.06,23.8
20.1,31.5,80,84,8.7,62,17.64,73,74,55,74.0,20.9,3.1,98,39,8.03,1.3,7.7,6.7,42.81,6.39,26.9
25.0,36.8,96,100,13.2,98,20.45,96,96,82,96.0,25.8,6.7,99,82,7.01,2.6,7.5,7.1,43.87,6.5,15.6
19.0,30.3,72,100,7.7,45,15.54,33,66,69,66.0,17.4,2.3,99,59,7.49,0.0,3.8,0.9,48.46,7.79,18.1
17.6,27.7,48,84,7.5,45,14.84,9,88,60,88.0,19.7,4.8,100,31,6.37,3.1,4.3,4.4,55.11,7.71,13.1
17.3,29.7,68,68,4.9,4,14.14,13,40,65,40.0,16.8,0.3,98,63,6.36,2.2,6.5,4.2,48.47,7.26,15.1
19.5,32.6,86,74,6.4,18,16.48,25,73,64,73.0,20.6,2.9,99,28,6.78,2.9,4.8,5.8,49.76,7.57,9.4
18.7,32.2,80,41,5.2,15,13.91,96,44,84,44.0,14.9,0.7,99,59,6.57,1.5,5.2,5.2,48.48,7.37,22.8
21.4,33.6,89,100,9.2,73,19.28,63,91,51,91.0,21.4,5.1,100,82,7.1,1.7,7.5,5.8,50.28,7.56,10.2
19.9,32.4,85,50,7.4,37,18.58,45,38,42,38.0,17.9,0.1,98,63,6.73,2.4,5.1,3.8,50.61,7.12,39.5
19.1,30.2,73,100,8.0,45,15.77,81,80,68,80.0,18.8,3.8,99,26,6.16,2.3,7.4,4.3,51.59,7.65,9.6
18.7,29.8,65,79,7.6,51,14.84,56,73,74,73.0,18.4,3.1,99,22,6.56,1.5,8.2,4.1,46.63,7.11,16.6
