"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF","Willie Reed",3000,"Bkn@Mem 08:00PM ET",0,"Bkn"
"SG","Ian Clark",3000,"GS@NO 07:30PM ET",5.000,"GS"
"C","Shayne Whittington",3000,"Uta@Ind 07:00PM ET",0,"Ind"
"SF","Solomon Hill",3000,"Uta@Ind 07:00PM ET",0,"Ind"
"SG","C.J. Wilcox",3000,"Sac@LAC 10:30PM ET",0,"LAC"
"PF","Cory Jefferson",3000,"Pho@Por 10:00PM ET",0,"Pho"
"PG","Tim Frazier",3000,"Pho@Por 10:00PM ET",3.500,"Por"
"SG","Allen Crabbe",3000,"Pho@Por 10:00PM ET",10.750,"Por"
"PF","Kevin Seraphin",3000,"NY@Was 07:00PM ET",0,"NY"
"C","Tibor Pleiss",3000,"Uta@Ind 07:00PM ET",3.250,"Uta"
"SF","Duje Dukan",3000,"Sac@LAC 10:30PM ET",0,"Sac"
"PG","Pablo Prigioni",3000,"Sac@LAC 10:30PM ET",2.250,"LAC"
"PG","Russ Smith",3000,"Bkn@Mem 08:00PM ET",7.000,"Mem"
"SG","Markel Brown",3000,"Bkn@Mem 08:00PM ET",6.875,"Bkn"
"SG","Joe Ingles",3000,"Uta@Ind 07:00PM ET",5.875,"Uta"
"PF","Eric Moreland",3000,"Sac@LAC 10:30PM ET",5.250,"Sac"
"SG","Joe Young",3000,"Uta@Ind 07:00PM ET",0.000,"Ind"
"SG","Austin Rivers",3000,"Sac@LAC 10:30PM ET",16.750,"LAC"
"SF","Pat Connaughton",3000,"Pho@Por 10:00PM ET",5.500,"Por"
"SF","Branden Dawson",3000,"Sac@LAC 10:30PM ET",0,"LAC"
"PF","James Michael McAdoo",3000,"GS@NO 07:30PM ET",4.125,"GS"
"PF","Rakeem Christmas",3000,"Uta@Ind 07:00PM ET",0,"Ind"
"SF","Maurice Harkless",3000,"Pho@Por 10:00PM ET",17.125,"Por"
"PF","Jarnell Stokes",3000,"Bkn@Mem 08:00PM ET",0,"Mem"
"SF","Sergey Karasev",3000,"Bkn@Mem 08:00PM ET",1.500,"Bkn"
"SG","Jordan Adams",3000,"Bkn@Mem 08:00PM ET",6.500,"Mem"
"SF","Glenn Robinson III",3000,"Uta@Ind 07:00PM ET",0,"Ind"
"C","Willie Cauley-Stein",3000,"Sac@LAC 10:30PM ET",20.625,"Sac"
"SF","Cleanthony Early",3000,"NY@Was 07:00PM ET",3.375,"NY"
"PG","Raul Neto",3000,"Uta@Ind 07:00PM ET",16.375,"Uta"
"PF","Jarell Martin",3000,"Bkn@Mem 08:00PM ET",0,"Mem"
"SF","Rondae Hollis-Jefferson",3000,"Bkn@Mem 08:00PM ET",18.625,"Bkn"
"PF","Noah Vonleh",3000,"Pho@Por 10:00PM ET",7.250,"Por"
"PG","Dante Exum",3000,"Uta@Ind 07:00PM ET",0,"Uta"
"PF","Cliff Alexander",3000,"Pho@Por 10:00PM ET",0,"Por"
"SF","Kelly Oubre Jr.",3000,"NY@Was 07:00PM ET",0.000,"Was"
"PF","Trey Lyles",3000,"Uta@Ind 07:00PM ET",2.375,"Uta"
"PF","Kevon Looney",3000,"GS@NO 07:30PM ET",0,"GS"
"PF","Chris McCullough",3000,"Bkn@Mem 08:00PM ET",0,"Bkn"
"SF","Luis Montero",3000,"Pho@Por 10:00PM ET",0.750,"Por"
